album_id,album_title,disc_number,track_number,title,length_seconds
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,5,Boys,147
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,6,Ask Me Why,147
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,7,Please Please Me,121
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,8,Love Me Do,141
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,9,P.S. I Love You,124
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,10,Baby It’s You,160
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,11,Do You Want to Know a Secret,120
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,12,A Taste of Honey,125
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,13,There’s a Place,113
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1,14,Twist and Shout,153
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,1,I Saw Her Standing There,175
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,2,Misery,108
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,3,Anna (Go to Him),177
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,4,Chains,145
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,5,Boys,146
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,6,Ask Me Why,146
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,7,Please Please Me,122
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,8,Love Me Do,141
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,9,P.S. I Love You,124
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,10,Baby It’s You,160
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,11,Do You Want to Know a Secret,117
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,12,A Taste of Honey,123
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,13,There’s a Place,110
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1,14,Twist and Shout,154
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,1,I Saw Her Standing There,175
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,2,Misery,110
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,3,Anna (Go to Him),177
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,4,Chains,146
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,5,Boys,147
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,6,Ask Me Why,147
